,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
26,AGN,9.82e-15,2e-14,2.72e-14,7.06e-14,20.957,20.484,19.933,19.842,9999999.0,9999999.0,9999999.0,15.647,14.34,11.533,9999999.0,9999999.0,9999999.0,9999999.0,20.29,19.789
27,AGN,1.03e-14,1.67e-14,1.72e-14,4.61e-14,20.589,20.513,20.154,20.07,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,19.42,20.126
28,AGN,4.18e-14,6.03e-14,5.11e-14,6.44e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
29,AGN,1.35e-14,1.79e-14,1.48e-14,2.63e-14,18.938,18.805,18.606,18.64,9999999.0,9999999.0,9999999.0,15.133,13.887,10.931,9999999.0,9999999.0,9999999.0,9999999.0,18.36,18.672
30,AGN,9.07e-15,1.03e-14,1.78e-14,5.37e-14,19.559,19.155,18.811,18.663,9999999.0,9999999.0,9999999.0,14.633,13.388,10.655,9999999.0,9999999.0,9999999.0,9999999.0,19.1,18.751
31,AGN,9.25e-14,8.05e-14,4.13e-14,4.68e-14,19.44,19.006,18.753,18.271,17.018,16.102,15.414,14.347,13.396,10.914,9999999.0,9999999.0,9999999.0,9999999.0,18.7,18.61
32,AGN,4.81e-14,6.19e-14,6.42e-14,1.17e-13,18.008,17.866,17.636,17.711,9999999.0,9999999.0,9999999.0,13.986,12.676,9.94,9999999.0,9999999.0,9999999.0,9999999.0,16.82,17.632
33,AGN,1.63e-12,1.78e-12,1.51e-12,3.89e-12,14.754,14.39,13.935,13.793,12.615,11.731,10.592,9.057,8.083,5.72,9999999.0,9999999.0,9999999.0,9999999.0,12.24,14.09
34,AGN,2.73e-14,3.25e-14,2.47e-14,8.21e-14,19.61,19.255,18.735,18.099,17.006,16.376,15.451,14.342,13.494,10.663,9999999.0,9999999.0,9999999.0,9999999.0,18.61,18.455
35,AGN,8.82e-15,1.22e-14,1.31e-14,2.57e-14,19.702,19.792,19.679,19.749,9999999.0,9999999.0,9999999.0,16.829,15.443,12.376,9999999.0,9999999.0,9999999.0,9999999.0,20.93,19.679
